Name,Authors,Summary,Rating,Learners,Picture,Link,Category
Командная строка Linux,"Fedor Ivanov, Artem Starikov","Стань настоящим гуру Линукса, начав с самых основ. Разложим сложные концепты простым языком и сформируем целостный образ мышления вокруг Linux. Закрепим знания на десятке практических задач с автоматической проверкой. Практиковаться будем на наших серверах – в онлайн-версии VS Code с доступом к терминалу",5.0,1000,https://cdn.stepik.net/media/cache/images/courses/171984/cover_8BUN3lt/7e349274122c840e1b100465342d7bdc.png,https://stepik.org/course/171984?search=7087465352,Языки программирования
Основы программирования на С/C++ Часть 2,Оксана Еськова,"Вы уже знаете основы С++, но не понимаете, куда двигаться дальше? В курсе ""Основы программирования на C/C++ Часть 2"" мы продолжим погружаться в море возможностей С++. Указатели и функции, строки и структуры, динамическая память и файлы... Все это мы не только разберем подробно и последовательно, но и научимся применять в комплексе для решения разнообразных задач.… Ещё",5.0,1500,https://cdn.stepik.net/media/cache/images/courses/116440/cover_UaSaDrS/8a056250d41412b6515cacfaca7a3347.png,https://stepik.org/course/116440?search=7087465353,Языки программирования
1С программирование для начинающих с преподавателем,"Василий Еремин, Николай","В данном курсе, совместно с преподавателем, вы получите всю необходимую информацию для начинающего программиста 1С. По окончанию курса у вас не будет уроков, которых вы не поняли или поняли неправильно, ведь преподаватель разберет все сложные уроки вместе с вами, даст дополнительные домашние задания и всегда объяснил любую сложную тему до того момента, пока вы ее не поймете… Ещё",5.0,17,https://cdn.stepik.net/media/cache/images/courses/215410/cover_QR3ms3R/066cc7eb6ead0f48e22efb479080db52.png,https://stepik.org/course/215410?search=7087465354,Языки программирования
"Вёрстка сайта с нуля • JSX, SCSS, JS, Vite, Minista, БЭМ",Александр Ламков,"Уже знаете HTML, CSS и JavaScript? Примените знания на практике — шаг за шагом разработайте фронтенд для веб-приложения на современном стеке технологий! В курсе вас ждет много сложной вёрстки, тысячи строк качественного JavaScript-кода и крутейшая SSG-сборка с JSX-шаблонизатором на борту. Достойный проект для портфолио и мощная тренировка перед тем, как погрузиться в… Ещё",5.0,412,https://cdn.stepik.net/media/cache/images/courses/228315/cover_VgKEm2C/fa85334b9e5f1b123c6090f7384cd7db.png,https://stepik.org/course/228315?search=7087465355,Языки программирования
Машинное Обучение в Python: Большой Курс для Начинающих,Влад Бурмистров,"Более 50 часов видео-лекций! 👍 Победитель Stepik Awards в номинации ""Прорыв года""! 🏆 Этот курс - лучший способ начать с нуля и стать специалистом по Машинному Обучению в Python! Изучите библиотеки NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое. Много практики + теория тоже есть! 🔥Оперативная поддержка автора!🔥 Почитайте отзывы и записывайтесь!",5.0,4200,https://cdn.stepik.net/media/cache/images/courses/129449/cover_C9Y4DuV/19b0528e700e86bf9a792d561a535458.jpg,https://stepik.org/course/129449?search=7087465356,Языки программирования
Java Core: программа курсов,Оксана Еськова,"Программа из трех курсов. Изучаем Java с нуля: синтаксис языка, основы ООП, основные библиотеки вплоть до Java 8. Все, что нужно знать для прохождения собеседования по Java SE. Последовательно, просто, кратко. На интересных, не типовых задачах.",,57,https://cdn.stepik.net/media/cache/images/courses/230295/cover_jpI5OxV/8439e48b173b72ce4ef279d63a79e312.png,https://stepik.org/course/230295?search=7087465357,Языки программирования
Data Science с Глебом Михайловым,Глеб Михайлов,"🏆Победитель Stepik Awards в номинации ""Прорыв года""🏆 Практический видео-курс по основам data science. Никакой математики, никакой теории, только примеры решения реальных задач c помощью pandas и CatBoost. Вводная часть курса по python и pandas для анализа данных доступна бесплатно!🔥",5.0,2900,https://cdn.stepik.net/media/cache/images/courses/113596/cover_ZGnog93/5a11149b8d5e9ec372f686947c2c3696.png,https://stepik.org/course/113596?search=7087465358,Языки программирования
Android: Профессиональный уровень + Подготовка к собеседованию,Андрей Сумин,"Курс предназначен для тех, кто уже знает основы Android разработки и языка Kotlin. Здесь вы изучите все, что нужно, чтобы быть готовым к устройству на работу на должность Junior Android Developer. Вас ждут такие темы как Dagger, корутины, чистая архитектура, основные компоненты Android и многое другое",5.0,2400,https://cdn.stepik.net/media/cache/images/courses/117314/cover_PWGYe0T/b315c1188a52b9c990f1dabe8adceb38.png,https://stepik.org/course/117314?search=7087465359,Языки программирования
Пакет курсов JavaScript и React разработчика,Михаил Непомнящий,"Пакет из 4-х курсов для тех, кто хочет освоить востребованные инструменты для веб-разработки. JavaScript, React, Redux и создание тестов к ним. В рамках курсов вы не только изучите необходимую теорию, но и создадите несколько проектов, которые пригодятся для портфолио.",,81,https://cdn.stepik.net/media/cache/images/courses/204117/cover_RmrAKxD/5fb767aaef4ca93adacf101fbd3c0256.png,https://stepik.org/course/204117?search=7087465360,Языки программирования
"""Поколение Python"": базы данных и SQL","Поколение Python, Тимур 🐍 Гуев","Курс продолжает серию ""Поколение Python"" и рассказывает о языке структурированных запросов SQL, который используется при работе с реляционными базами данных",5.0,3100,https://cdn.stepik.net/media/cache/images/courses/113918/cover_ZqWs9ih/824583f5ebd07d6c11d0a2eaefe95f8b.png,https://stepik.org/course/113918?search=7087465361,Языки программирования
Фундаментальный JavaScript,Михаил Непомнящий,"Современный JavaScript с основ до продвинутых техник. Для начинающих и желающих закрыть пробелы и попрактиковаться. За 20 часов вы получите глубокие знания от профессионала-практика. Вы изучите современный синтаксис, основы языка, работу с браузером, ООП и асинхронное программирование. Курс включает реальную практику с автопроверкой и создание нескольких проектов.… Ещё",5.0,1300,https://cdn.stepik.net/media/cache/images/courses/114165/cover_vwmUs6k/6b00824491966ac2add83be8a06d9ed5.png,https://stepik.org/course/114165?search=7087465362,Языки программирования
Java с нуля до Junior + Подготовка к собеседованию,Андрей Сумин,"В этом курсе мы изучим язык Java с самого нуля. По окончании курса вы будете знать все, что нужно для прохождения собеседования по части Java SE в большинстве компаний",5.0,3600,https://cdn.stepik.net/media/cache/images/courses/118518/cover_XMAbq4x/1305ba308cb8241c6ebfdcd128baca39.png,https://stepik.org/course/118518?search=7087465363,Языки программирования
FastAPI для начинающих,Илья Перминов,"Этот курс представляет собой подробное руководство по созданию приложений с помощью FastAPI. Вы узнаете, как создавать быстрые, эффективные и масштабируемые REST API на Python. Вы начнете с приложения Hello World и далее создадите полноценное API интернет магазина, использующее асинхронные запросы к базе данных, аутентификацию и права доступа. Внимание, данный курс не содержит… Ещё",5.0,720,https://cdn.stepik.net/media/cache/images/courses/180000/cover_3m8UXJV/101b3e0f6700d1362473dbe9cc710ab6.png,https://stepik.org/course/180000?search=7087465364,Языки программирования
Профессия Android-разработчик + подготовка к собеседованию,Андрей Сумин,"Самая большая программа подготовки Андроид-разработчиков на русском языке. Содержит полную и структурированную информацию для того, чтобы с нуля подготовить вас к прохождению собеседования и трудоустройству на должность Junior Android Developer.",5.0,1200,https://cdn.stepik.net/media/cache/images/courses/121912/cover_EV7Du2D/f5b8ea2d4c87313246d38d5fffca0e18.png,https://stepik.org/course/121912?search=7087465365,Языки программирования
Введение в соревновательный Data Science,"Александр 🍕 Миленькин, Иван Александров","🏆 Разбираемся в тонкостях соревновательного анализа данных. Прокачиваемся в построении моделей машинного обучения с максимальной точностью. Минимум теории, максимум практики для победы в чемпионатах. Курс стал победителем в номинации ""Прорыв Года"" Stepik Awards 2023.",5.0,1400,https://cdn.stepik.net/media/cache/images/courses/108888/cover_SK1Dgpk/46dae82f03ce54ccfbf9e148625a8da2.PNG,https://stepik.org/course/108888?search=7087465366,Языки программирования
Основы программирования на C/C++,Оксана Еськова,"Для новичков этот курс станет идеальной отправной точкой. Вы научитесь разбираться в основных типах данных, использовать базовые алгоритмические конструкции и уверенно работать с массивами. К окончанию курса вы разовьете алгоритмическое мышление и получите уникальный опыт, который сформирует ваши навыки программирования на всю жизнь! Присоединяйтесь и начните свой путь в мир… Ещё",5.0,8900,https://cdn.stepik.net/media/cache/images/courses/55918/cover/ec2bfa4c5d01c4c67b2dd37a0833f387.jpg,https://stepik.org/course/55918?search=7087465367,Языки программирования
Продвинутый Django 5 для продолжающих,Илья Перминов,"В этом курсе углублённо рассматриваются вопросы разработки веб-приложений Django, подробно разберем ORM Django, с индексами базы данных PostgreSQL. Разработаем приложение через тестирование, создадим CRUD проект с HTMX, Веб-Чат с использованием Сhannels и WebSocket и познакомимся с Celery и Redis. Рассмотрим вопросы интернационализации и локализации. Изучим кэш в Django.… Ещё",4.9,1000,https://cdn.stepik.net/media/cache/images/courses/177355/cover_HONWl3x/1184c9fa6c1ac4c233b43e430826ad39.png,https://stepik.org/course/177355?search=7087465368,Языки программирования
Курс по верстке и веб разработке сайтов с нуля! Web development,Дмитрий Фокеев,"В этом курсе вы найдете все о современной верстке сайтов, для быстрого старта в профессию веб разработчик!",5.0,3000,https://cdn.stepik.net/media/cache/images/courses/114109/cover_LzNhqC7/a1ab8c8d88b70bf21a17155a777cb48a.jpg,https://stepik.org/course/114109?search=7087465369,Языки программирования
Старт карьеры в IT. Front-end разработчик сайтов с нуля.,Дмитрий Фокеев,"В этом пакете из 2-х курсов, вы найдете все для старка карьеры в IT в качестве Front-end web разработчика. Быстрый старт в IT! Цена на пакет курсов ниже на 20% чем если бы вы приобретали курсы отдельно.",5.0,364,https://cdn.stepik.net/media/cache/images/courses/175308/cover_yu3Ht7B/721b7638d9858b1dd9b62467980a975f.jpg,https://stepik.org/course/175308?search=7087465370,Языки программирования
Практический Machine Learning,AI Education,"В курсе изучаются классические и продвинутые алгоритмы машинного обучения, подробно разбираются математические обоснования изучаемых методов.",5.0,1800,https://cdn.stepik.net/media/cache/images/courses/125501/cover_MaP684G/a0298f83e394933fc9d56f9686cf5cac.png,https://stepik.org/course/125501?search=7087465371,Языки программирования
"Frontend разработчик на HTML, CSS и JavaScript",Исмаил Усеинов,"Начните зарабатывать деньги освоив самое важное для веб-разработчика. Изучим HTML, CSS, JavaScript, Figma, Photoshop, VS Code, Emmet, BEM, Bootstrap, Vue, Git, GitHub, Gulp. Расскажу как составить портфолио, резюме и взять первый заказ на фрилансе.",5.0,1700,https://cdn.stepik.net/media/cache/images/courses/113402/cover_S4RS2VR/13d06c3ba70775930de99215bce21fca.png,https://stepik.org/course/113402?search=7087465372,Языки программирования
Django 5 для начинающих,Илья Перминов,"Этот курс проведет вас через весь процесс разработки профессиональных веб-приложений с помощью Django и Django REST Framework. Все лекции посвящены объяснению механизмов работы веб-фреймворка Django путем написания нескольких проектов на Python с нуля и последующим их деплоем на сервер. В курсе 150 интерактивных задач для закрепления и проверки знаний. Внимание, данный курс не… Ещё",5.0,1600,https://cdn.stepik.net/media/cache/images/courses/174634/cover_9ittfPS/2ef969943bede3eed6ddf0cbff6480d7.png,https://stepik.org/course/174634?search=7087465373,Языки программирования
Основы языка Java,Оксана Еськова,"Откройте дверь в мир возможностей Java! С этим курсом Вы создадите фундамент своих знаний: научитесь писать простые программы, разберетесь с типами данных, алгоритмическими конструкциями, массивами и строками, поймете принципы создания статических методов и передачи параметров. Благодаря тщательно подобранному контенту вы изучите основы Java без необходимости дополнительных… Ещё",5.0,26700,https://cdn.stepik.net/media/cache/images/courses/124803/cover_KXg5YXB/a077e5237b32186eafd9ae4fdc5aac9c.png,https://stepik.org/course/124803?search=7087465374,Языки программирования
Основы HTML и CSS,Shultais Education,"Курс для начинающих верстальщиков сайтов на HTML и CSS. Разбираем реальные макеты, изучаем семантику языка, отрабатываем навыки в тренажере. В курсе более 190 заданий. Из них 150 – решение практических задач.",5.0,519,https://cdn.stepik.net/media/cache/images/courses/58973/cover_ejRH1cU/fe27c786aca2488aafe721f2a1deb2cc.png,https://stepik.org/course/58973?search=7087465375,Языки программирования
