id,пол,возраст,предпочтение,пройденные_курсы,количество_курсов,оценка
6,Ж,26,Разработка игр,UNREAL ENGINE для новичков! Создаем шутер с нуля,9,4
6,Ж,26,Разработка игр,PyGame Lite: Мастерство разработки игр с использованием PyGame,9,10
6,Ж,26,Разработка игр,Продвинутый уровень на Python,9,2
6,Ж,26,Разработка игр,Множество задач для фундаментального курса математики!,9,9
6,Ж,26,Разработка игр,Лазерные технологии,9,8
7,М,23,Языки программирования,"""Поколение Python"": курс для начинающих",9,8
7,М,23,Языки программирования,Машинное Обучение в Python: Большой Курс для Начинающих,9,10
7,М,23,Языки программирования,Основы SQL,9,5
7,М,23,Языки программирования,Основы программирования на C/C++,9,10
7,М,23,Языки программирования,Основы HTML и CSS,9,10
7,М,23,Языки программирования,"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение",9,9
7,М,23,Языки программирования,"""Поколение Python"": курс для профессионалов",9,10
7,М,23,Языки программирования,Маркетплейсы. Курс 3. Работа с поставщиками товаров. Документы.,9,10
7,М,23,Языки программирования,Графический дизайн,9,10
8,Ж,35,Графический дизайн,3D-моделирование в Blender,6,4
8,Ж,35,Графический дизайн,Цифровая история искусства: новая реальность культуры,6,6
8,Ж,35,Графический дизайн,Учебник по UI-дизайну,6,1
8,Ж,35,Графический дизайн,Практический курс по digital-дизайну от evilUnion,6,5
8,Ж,35,Графический дизайн,ЕГЭ математика ПРОФИЛЬНЫЙ УРОВЕНЬ 2024-2025,6,10
8,Ж,35,Графический дизайн,"PRO C#. Профессия ""Разработчик игр на Unity""",6,9
9,М,44,Языки программирования,Data Science с Глебом Михайловым,5,10
9,М,44,Языки программирования,"""Поколение Python"": курс для начинающих",5,10
9,М,44,Языки программирования,Основы языка Java,5,8
9,М,44,Языки программирования,Введение в соревновательный Data Science,5,10
9,М,44,Языки программирования,"Маркетплейсы. Курс 2. Аналитика ниши, товаров и конкурентов.",5,6
10,М,21,Маркетинг и продажи,1С: Управление торговлей,4,10
10,М,21,Маркетинг и продажи,"Основы SMM в Instagram* без ""воды"" для начинающих 2.0 (обновлён)",4,10
10,М,21,Маркетинг и продажи,IBaza Analytics | Аналитика и исследования Целевой аудитории,4,10
10,М,21,Маркетинг и продажи,Гайд по дизайну,4,6
11,М,26,Математика,ЕГЭ по математике 2025: неравенства,14,10
11,М,26,Математика,"""Поколение Python"": курс для начинающих",14,10
11,М,26,Математика,ЕГЭ по математике 2025: уравнения,14,10
11,М,26,Математика,ЕГЭ по математике 2025: экономическая задача,14,10
11,М,26,Математика,Олимпиадная математика,14,9
11,М,26,Математика,ЕГЭ по математике 2025: первая часть,14,10
11,М,26,Математика,Практикум по математике и Python,14,10
11,М,26,Математика,"""Поколение Python"": курс для профессионалов",14,10
11,М,26,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),14,7
11,М,26,Математика,Data Science с Глебом Михайловым,14,1
11,М,26,Математика,Математика для физики,14,10
11,М,26,Математика,Программа курсов: Фронтенд-разработка,14,10
11,М,26,Математика,"Маркетинг, создание и продвижение бизнеса ВКонтакте с нуля.",14,8
11,М,26,Математика,Игра на Vue.js,14,10
12,М,23,Графический дизайн,Введение в дизайн,5,8
12,М,23,Графический дизайн,Основы дизайна интерфейсов,5,8
12,М,23,Графический дизайн,Прикладные исследования цвета,5,10
12,М,23,Графический дизайн,Практический курс по digital-дизайну от evilUnion,5,10
12,М,23,Графический дизайн,Создание игры в среде SCRATCH. HUMSTER,5,5
13,М,39,Математика,"""Поколение Python"": курс для начинающих",11,1
13,М,39,Математика,ЕГЭ по математике 2025: экономическая задача,11,9
13,М,39,Математика,Практикум по математике и Python,11,7
13,М,39,Математика,ЕГЭ по математике 2025: уравнения,11,1
13,М,39,Математика,ЕГЭ по математике 2025: неравенства,11,3
13,М,39,Математика,ЕГЭ по математике 2025: первая часть,11,10
13,М,39,Математика,Олимпиадная математика,11,1
13,М,39,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),11,10
13,М,39,Математика,12 правил успешного продажника,11,10
13,М,39,Математика,Unreal Engine 5:C++ для начинающих программистов. Курс 2 часть 1,11,8
13,М,39,Математика,Полный курс по созданию мобильных игр на Godot 4,11,10
14,М,37,Разработка игр,Введение в Unity,8,8
14,М,37,Разработка игр,Шутер на Unreal Engine 5,8,10
14,М,37,Разработка игр,Unity. Знакомство с движком,8,1
14,М,37,Разработка игр,Создание игр на Unreal Engine,8,10
14,М,37,Разработка игр,Unity Базовый курс 3D,8,10
14,М,37,Разработка игр,Элементарное программирование,8,9
14,М,37,Разработка игр,Математика для преподавателей школ,8,10
14,М,37,Разработка игр,Наука: Математика,8,3
15,М,40,Графический дизайн,Дизайн инфографики и визуализации данных,16,10
15,М,40,Графический дизайн,Основы дизайна интерфейсов,16,10
15,М,40,Графический дизайн,Учебник по UI-дизайну,16,4
15,М,40,Графический дизайн,Adobe Illustrator: основы векторной графики,16,9
15,М,40,Графический дизайн,Figma — это просто! Бесплатный курс по веб-дизайну с практикой,16,9
15,М,40,Графический дизайн,3D-моделирование в Blender,16,10
15,М,40,Графический дизайн,Photoshop c нуля. Без воды,16,1
15,М,40,Графический дизайн,Основы граф.дизайна,16,3
15,М,40,Графический дизайн,Цифровой дизайн,16,9
15,М,40,Графический дизайн,Роспись на джинсах,16,4
15,М,40,Графический дизайн,Рисунок в технике зентангл,16,5
15,М,40,Графический дизайн,Фигма на фрилансе - Figma для новичков,16,9
15,М,40,Графический дизайн,PRO C#. Unity,16,10
15,М,40,Графический дизайн,Создание игр на Unity,16,10
15,М,40,Графический дизайн,"Курс для начинающих предпринимателей ""Своё дело"".",16,8
15,М,40,Графический дизайн,Программирование в Roblox для подростков,16,10
16,М,25,Графический дизайн,Графический дизайн,10,10
16,М,25,Графический дизайн,Figma — это просто! Бесплатный курс по веб-дизайну с практикой,10,8
16,М,25,Графический дизайн,"Курс по CorelDRAW: теория, практика и домашние задания",10,10
16,М,25,Графический дизайн,Учебник по UI-дизайну,10,10
16,М,25,Графический дизайн,Основы дизайна интерфейсов,10,10
16,М,25,Графический дизайн,Введение в дизайн,10,2
16,М,25,Графический дизайн,Дизайн инфографики и визуализации данных,10,2
16,М,25,Графический дизайн,Цифровая история искусства: новая реальность культуры,10,7
16,М,25,Графический дизайн,SQL с нуля до PRO,10,9
16,М,25,Графический дизайн,Создание игры 3 в ряд (match 3) в Unity 3D на языке C#,10,10
17,М,41,Графический дизайн,Рисунок в технике зентангл,7,10
17,М,41,Графический дизайн,Роспись на джинсах,7,6
17,М,41,Графический дизайн,Прикладные исследования цвета,7,9
17,М,41,Графический дизайн,Фигма на фрилансе - Figma для новичков,7,1
17,М,41,Графический дизайн,Введение в дизайн,7,6
17,М,41,Графический дизайн,Математика. Таблицу умножения учу я с увлечением.,7,10
17,М,41,Графический дизайн,Разработка игр: знакомство с Unreal Engine за 3 дня,7,10
18,Ж,19,Разработка игр,Игровые разработки с T-Boom на Unreal Engine,13,10
18,Ж,19,Разработка игр,Введение в Unity,13,10
18,Ж,19,Разработка игр,"НТО Junior 23-24. ОК ""Технологии и компьютерные игры""",13,10
18,Ж,19,Разработка игр,Шутер на Unreal Engine 5,13,10
18,Ж,19,Разработка игр,Создание игр на Unity,13,10
18,Ж,19,Разработка игр,НТО Junior 22. ОК «Технологии и компьютерные игры»,13,1
18,Ж,19,Разработка игр,Элементарное программирование,13,3
18,Ж,19,Разработка игр,C# для Unity. Часть 1. Консоль,13,10
18,Ж,19,Разработка игр,Продвинутый уровень на Python,13,10
18,Ж,19,Разработка игр,Уроки Unity 3D - Разработка игр | Занятия для детей,13,9
18,Ж,19,Разработка игр,Нейросети: практические навыки,13,9
18,Ж,19,Разработка игр,Дизайнер сайтов на Tilda. С нуля до PRO,13,10
18,Ж,19,Разработка игр,Веб дизайн в Figma Продвинутый уровень | Создание UI KIT в FIGMA,13,8
19,Ж,32,Маркетинг и продажи,"Продвижение в социальных сетях с помощью Reels ""от А до Я""",5,1
19,Ж,32,Маркетинг и продажи,Пользователь Битрикс24,5,10
19,Ж,32,Маркетинг и продажи,Телефонные продажи,5,10
19,Ж,32,Маркетинг и продажи,1С: Управление торговлей,5,5
19,Ж,32,Маркетинг и продажи,Цифровой дизайн,5,10
20,Ж,29,Маркетинг и продажи,ОСНОВЫ БРЕНДИНГА,3,10
20,Ж,29,Маркетинг и продажи,1С: Управление торговлей,3,9
20,Ж,29,Маркетинг и продажи,Разработка игрового приложения на Unreal Engine,3,1
21,М,39,Графический дизайн,Основы дизайна интерфейсов,7,10
21,М,39,Графический дизайн,Рисунок в технике зентангл,7,5
21,М,39,Графический дизайн,Веб дизайн в Figma Продвинутый уровень | Создание UI KIT в FIGMA,7,10
21,М,39,Графический дизайн,Цифровая история искусства: новая реальность культуры,7,4
21,М,39,Графический дизайн,Дизайн инфографики и визуализации данных,7,8
21,М,39,Графический дизайн,Data Science с Глебом Михайловым,7,9
21,М,39,Графический дизайн,Основы Python: продвинутая разработка игр,7,10
22,М,20,Графический дизайн,Основы дизайна интерфейсов,5,1
22,М,20,Графический дизайн,Прикладные исследования цвета,5,10
22,М,20,Графический дизайн,"Теория цифрового дизайна. Веб дизайн, фотография, композиция!",5,4
22,М,20,Графический дизайн,Графический дизайн,5,3
22,М,20,Графический дизайн,SQL для начинающих,5,10
23,М,33,Математика,"""Поколение Python"": курс для начинающих",13,10
23,М,33,Математика,ЕГЭ по математике 2025: уравнения,13,5
23,М,33,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),13,10
23,М,33,Математика,ЕГЭ по математике 2025: экономическая задача,13,10
23,М,33,Математика,ЕГЭ по математике 2025: первая часть,13,8
23,М,33,Математика,Ментальная математика для взрослых — учимся быстро считать в уме,13,4
23,М,33,Математика,ЕГЭ по математике: задача с параметром,13,9
23,М,33,Математика,Практикум по математике и Python,13,1
23,М,33,Математика,Программирование для математиков. Курс для продолжающих.,13,10
23,М,33,Математика,Математика для семиклассника,13,4
23,М,33,Математика,Продвинутый SQL,13,10
23,М,33,Математика,Бэкенд разработка на Django: с нуля до специалиста,13,7
23,М,33,Математика,Менеджер маркетплейса Озон,13,10
24,М,30,Графический дизайн,Гайд по дизайну,15,10
24,М,30,Графический дизайн,Курс по Adobe Illustrator - с нуля до результата,15,5
24,М,30,Графический дизайн,Рисунок в технике зентангл,15,6
24,М,30,Графический дизайн,Инструменты дизайнера Photoshop и Illustrator. Пакет 2-х курсов!,15,10
24,М,30,Графический дизайн,Курс по Adobe Photoshop - (продвинутый уровень)!,15,9
24,М,30,Графический дизайн,Введение в дизайн,15,10
24,М,30,Графический дизайн,Работа в графическом редакторе Gimp,15,1
24,М,30,Графический дизайн,Инфографика для маркетплейсов с нуля,15,8
24,М,30,Графический дизайн,Figma — это просто! Бесплатный курс по веб-дизайну с практикой,15,10
24,М,30,Графический дизайн,Цифровая история искусства: новая реальность культуры,15,10
24,М,30,Графический дизайн,Фигма на фрилансе - Figma для новичков,15,3
24,М,30,Графический дизайн,Дизайн и визуальные составляющие социальных сетей,15,9
24,М,30,Графический дизайн,ЕГЭ по математике: тригонометрия,15,9
24,М,30,Графический дизайн,Бэкенд разработка на Django: с нуля до специалиста,15,10
24,М,30,Графический дизайн,Сторителлинг. Искусство создания цепляющих историй,15,10
25,М,37,Графический дизайн,Введение в дизайн,7,10
25,М,37,Графический дизайн,Adobe Photoshop. От основ до методов стилизации в дизайне.,7,10
25,М,37,Графический дизайн,Курс по Adobe Photoshop - (продвинутый уровень)!,7,2
25,М,37,Графический дизайн,Adobe Illustrator: основы векторной графики,7,10
25,М,37,Графический дизайн,Цифровая обработка изображений в редакторе Photoshop,7,1
25,М,37,Графический дизайн,"Цифровой двойник: дополнительный доход, экономия времени",7,10
25,М,37,Графический дизайн,Как начать продавать на маркетплейсах.,7,10
26,М,40,Маркетинг и продажи,1С: Управление торговлей,17,2
26,М,40,Маркетинг и продажи,Дизайнер карточек для маркетплейсов,17,9
26,М,40,Маркетинг и продажи,IBaza Analytics | Аналитика и исследования Целевой аудитории,17,5
26,М,40,Маркетинг и продажи,Пользователь Битрикс24,17,10
26,М,40,Маркетинг и продажи,Маркетплейсы. Курс 9. Продвижение товаров на маркетплейсе.,17,10
26,М,40,Маркетинг и продажи,Стратегия управления продажами,17,5
26,М,40,Маркетинг и продажи,"Маркетплейсы. Курс 5. Unit-экономика, бюджетирование проекта.",17,3
26,М,40,Маркетинг и продажи,Внедрение CRM Битрикс24 без программиста,17,10
26,М,40,Маркетинг и продажи,"Основы SMM в Instagram* без ""воды"" для начинающих 2.0 (обновлён)",17,1
26,М,40,Маркетинг и продажи,ОСНОВЫ БРЕНДИНГА,17,10
26,М,40,Маркетинг и продажи,Академия продаж. Менеджер по продажам,17,9
26,М,40,Маркетинг и продажи,ТОП-3 профессии в Instagram*: копирайтер|сторисмейкер|таргетолог,17,10
26,М,40,Маркетинг и продажи,Управление продажами. Основы.,17,8
26,М,40,Маркетинг и продажи,SQL для начинающих,17,10
26,М,40,Маркетинг и продажи,Подготовка к ОГЭ по Математике от эксперта 2025,17,10
26,М,40,Маркетинг и продажи,ОГЭ Математика I часть. Видеокурс-тренажёр.,17,6
26,М,40,Маркетинг и продажи,Полный курс Python для начинающих,17,9
27,М,26,Математика,"""Поколение Python"": курс для начинающих",8,9
27,М,26,Математика,ЕГЭ по математике 2025: первая часть,8,10
27,М,26,Математика,Подготовка к экзамену по математике лицеиста 4-5 класс,8,9
27,М,26,Математика,Практикум по математике и Python,8,10
27,М,26,Математика,№21. Задачи на смекалку. ЕГЭ/Математика/Базовый уровень,8,10
27,М,26,Математика,АА - Активный Английский от Екатерины Зак для продолжающих (А2),8,10
27,М,26,Математика,"""Поколение Python"": курс для профессионалов",8,10
27,М,26,Математика,Программа курсов: Бэкенд-разработка на Python,8,10
28,М,25,Математика,ЕГЭ по математике 2025: текстовая задача,6,1
28,М,25,Математика,"""Поколение Python"": курс для начинающих",6,9
28,М,25,Математика,ЕГЭ по математике 2025: уравнения,6,10
28,М,25,Математика,Практикум по математике и Python,6,10
28,М,25,Математика,"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение",6,10
28,М,25,Математика,Разработчик 2D и 3D игр на игровом движке Unity с нуля до про.,6,8
29,М,19,Разработка игр,НТО Junior 22. ОК «Технологии и компьютерные игры»,19,10
29,М,19,Разработка игр,Unity Базовый курс 3D,19,1
29,М,19,Разработка игр,Введение в Unity,19,2
29,М,19,Разработка игр,Шутер на Unreal Engine 5,19,9
29,М,19,Разработка игр,Игровой движок Roblox Studio и Unity начальная ступень,19,10
29,М,19,Разработка игр,Godot для абсолютных новичков | Создай 2D игру мечты,19,10
29,М,19,Разработка игр,C# для Unity. Часть 1. Консоль,19,10
29,М,19,Разработка игр,Unity. Знакомство с движком,19,1
29,М,19,Разработка игр,Python : от основ до подготовки к ОГЭ и создания игр,19,5
29,М,19,Разработка игр,Гейм-дизайн,19,10
29,М,19,Разработка игр,Создание игр на Unreal Engine,19,9
29,М,19,Разработка игр,"НТО Junior 23-24. ОК ""Технологии и компьютерные игры""",19,10
29,М,19,Разработка игр,Python Smart Skills,19,10
29,М,19,Разработка игр,Игровые разработки с T-Boom на Unreal Engine,19,4
29,М,19,Разработка игр,Создание игр в Roblox studio,19,10
29,М,19,Разработка игр,Фундаментальный JavaScript,19,1
29,М,19,Разработка игр,Профессия Android-разработчик + подготовка к собеседованию,19,10
29,М,19,Разработка игр,Mини-курс по Adobe Photoshop,19,10
29,М,19,Разработка игр,АА - Активный Английский от Екатерины Зак для продолжающих (А2),19,4
30,Ж,24,Маркетинг и продажи,Внедрение CRM Битрикс24 без программиста,12,2
30,Ж,24,Маркетинг и продажи,ОСНОВЫ БРЕНДИНГА,12,1
30,Ж,24,Маркетинг и продажи,Power bi и язык DAX. Базовый уровень. Упор на маркетинг и ecom,12,1
30,Ж,24,Маркетинг и продажи,Академия продаж. Менеджер по продажам,12,10
30,Ж,24,Маркетинг и продажи,1С: Управление торговлей,12,10
30,Ж,24,Маркетинг и продажи,IBaza Analytics | Аналитика и исследования Целевой аудитории,12,10
30,Ж,24,Маркетинг и продажи,Управление продажами. Основы.,12,1
30,Ж,24,Маркетинг и продажи,Маркетплейсы. Курс 8. Создание продающей карточки товара.,12,9
30,Ж,24,Маркетинг и продажи,"Основы SMM в Instagram* без ""воды"" для начинающих 2.0 (обновлён)",12,10
30,Ж,24,Маркетинг и продажи,Создание визуальной новеллы на Android в RenPy,12,10
30,Ж,24,Маркетинг и продажи,Javascript. Часть 1 (Переменные и условные операторы),12,10
30,Ж,24,Маркетинг и продажи,Асинхронность в Python. Asyncio,12,10
31,М,26,Разработка игр,Введение в Unity,9,8
31,М,26,Разработка игр,Создание игр на Unreal Engine,9,1
31,М,26,Разработка игр,C# для Unity. Часть 1. Консоль,9,9
31,М,26,Разработка игр,"НТО Junior 23-24. ОК ""Технологии и компьютерные игры""",9,2
31,М,26,Разработка игр,Программирование в Roblox для подростков,9,3
31,М,26,Разработка игр,Unity Базовый курс 3D,9,10
31,М,26,Разработка игр,Язык программирования С# | Программирование для детей Unity,9,5
31,М,26,Разработка игр,Рисунок в технике зентангл,9,10
31,М,26,Разработка игр,"Теория цифрового дизайна. Веб дизайн, фотография, композиция!",9,1
32,Ж,25,Графический дизайн,Учебник по UI-дизайну,18,8
32,Ж,25,Графический дизайн,Основы дизайна интерфейсов,18,10
32,Ж,25,Графический дизайн,Цифровая история искусства: новая реальность культуры,18,1
32,Ж,25,Графический дизайн,Графический редактор CorelDRAW,18,9
32,Ж,25,Графический дизайн,Дизайн инфографики и визуализации данных,18,8
32,Ж,25,Графический дизайн,Figma — это просто! Бесплатный курс по веб-дизайну с практикой,18,10
32,Ж,25,Графический дизайн,Паттерны в иллюстрации,18,4
32,Ж,25,Графический дизайн,Прикладные исследования цвета,18,7
32,Ж,25,Графический дизайн,Цифровая обработка изображений в редакторе Photoshop,18,1
32,Ж,25,Графический дизайн,Введение в дизайн,18,10
32,Ж,25,Графический дизайн,Курс по Adobe Illustrator - с нуля до результата,18,10
32,Ж,25,Графический дизайн,Мини-курс по Adobe Illustrator,18,1
32,Ж,25,Графический дизайн,Рисунок в технике зентангл,18,10
32,Ж,25,Графический дизайн,Роспись на джинсах,18,10
32,Ж,25,Графический дизайн,Командная строка Linux,18,9
32,Ж,25,Графический дизайн,Настройка Яндекс Директ 2023: от Поиска и РСЯ до Товарных РК,18,10
32,Ж,25,Графический дизайн,Подготовка к ОГЭ по математике,18,6
32,Ж,25,Графический дизайн,Высшая математика для всех: курс для начинающих,18,9
33,М,29,Маркетинг и продажи,"Взрывные REELS: рилсы с нуля — легко, стильно, ярко! Подробно!",15,10
33,М,29,Маркетинг и продажи,Пользователь Битрикс24,15,10
33,М,29,Маркетинг и продажи,1С: Управление торговлей,15,10
33,М,29,Маркетинг и продажи,"Маркетплейсы. Курс 5. Unit-экономика, бюджетирование проекта.",15,4
33,М,29,Маркетинг и продажи,Внедрение CRM Битрикс24 без программиста,15,2
33,М,29,Маркетинг и продажи,ОСНОВЫ БРЕНДИНГА,15,1
33,М,29,Маркетинг и продажи,Power bi и язык DAX. Базовый уровень. Упор на маркетинг и ecom,15,1
33,М,29,Маркетинг и продажи,Телефонные продажи,15,10
33,М,29,Маркетинг и продажи,Академия продаж. Менеджер по продажам,15,4
33,М,29,Маркетинг и продажи,IBaza Analytics | Аналитика и исследования Целевой аудитории,15,10
33,М,29,Маркетинг и продажи,Маркетплейсы. Курс 1. Маркетплейсы в России.,15,2
33,М,29,Маркетинг и продажи,Маркетинг: от основ до продвинутых стратегий,15,10
33,М,29,Маркетинг и продажи,3D-моделирование в Blender,15,10
33,М,29,Маркетинг и продажи,Пакет курсов JavaScript и React разработчика,15,5
33,М,29,Маркетинг и продажи,"""Поколение Python"": курс для профессионалов",15,10
34,М,20,Графический дизайн,Основы дизайна интерфейсов,3,2
34,М,20,Графический дизайн,Введение в дизайн,3,10
34,М,20,Графический дизайн,Полный курс по созданию мобильных игр на Godot 4,3,8
35,М,43,Маркетинг и продажи,1С: Управление торговлей,18,10
35,М,43,Маркетинг и продажи,IBaza Analytics | Аналитика и исследования Целевой аудитории,18,10
35,М,43,Маркетинг и продажи,"Основы SMM в Instagram* без ""воды"" для начинающих 2.0 (обновлён)",18,10
35,М,43,Маркетинг и продажи,Дизайнер карточек для маркетплейсов,18,3
35,М,43,Маркетинг и продажи,Основы профессии: Продюсер. Рабочий пошаговый алгоритм запусков,18,10
35,М,43,Маркетинг и продажи,Управление продажами. Основы.,18,3
35,М,43,Маркетинг и продажи,Внедрение CRM Битрикс24 без программиста,18,10
35,М,43,Маркетинг и продажи,Авито с нуля до профи | Для собственников бизнеса и авитологов,18,10
35,М,43,Маркетинг и продажи,Стратегия управления продажами,18,2
35,М,43,Маркетинг и продажи,Power bi и язык DAX. Базовый уровень. Упор на маркетинг и ecom,18,10
35,М,43,Маркетинг и продажи,ОСНОВЫ БРЕНДИНГА,18,3
35,М,43,Маркетинг и продажи,Бизнес в Telegram: от идеи до прибыли,18,9
35,М,43,Маркетинг и продажи,Бизнес на Wildberries с нуля. Основы профессии: Аккаунт-менеджер,18,10
35,М,43,Маркетинг и продажи,Маркетплейсы. Курс 1. Маркетплейсы в России.,18,9
35,М,43,Маркетинг и продажи,Создание визуальной новеллы на Android в RenPy,18,4
35,М,43,Маркетинг и продажи,Figma — это просто! Бесплатный курс по веб-дизайну с практикой,18,10
35,М,43,Маркетинг и продажи,Python для начинающих. Графика. Анимация. Создание игр,18,10
35,М,43,Маркетинг и продажи,Godot для абсолютных новичков | Создай 2D игру мечты,18,10
36,М,31,Языки программирования,"""Поколение Python"": курс для начинающих",11,5
36,М,31,Языки программирования,"""Поколение Python"": базы данных и SQL",11,10
36,М,31,Языки программирования,ООП: Объектно-ориентированное программирование на Python,11,8
36,М,31,Языки программирования,Основы программирования на C/C++,11,10
36,М,31,Языки программирования,Машинное Обучение в Python: Большой Курс для Начинающих,11,8
36,М,31,Языки программирования,WEB Парсинг на Python,11,8
36,М,31,Языки программирования,Командная строка Linux,11,10
36,М,31,Языки программирования,Thank Go! Golang на практике,11,10
36,М,31,Языки программирования,Основы маркетинга,11,10
36,М,31,Языки программирования,Unity и Unreal начальный курс,11,8
36,М,31,Языки программирования,ОГЭ 2025. Математика. Задание 9. Всё про уравнения,11,10
37,М,31,Разработка игр,"Летающая робототехника | Клевер, Gazebo, Python",12,10
